		method		
chr	8	euclidean	0.615103611	0.671978099
chr	8	manhattan	0.622233451	0.687282267
chr	8	chebyshev	0.510300994	0.495298369
chr	9	euclidean	0.503729655	0.589994889
chr	9	manhattan	0.508704097	0.633767728
chr	9	chebyshev	0.502621146	0.472932243
chr	10	euclidean	0.601411508	0.725917428
chr	10	manhattan	0.673582275	0.792042171
chr	10	chebyshev	0.468484137	0.579642576
chr	11	euclidean	0.632390723	0.768465699
chr	11	manhattan	0.760781091	0.859438877
chr	11	chebyshev	0.434681236	0.599823619
chr	12	euclidean	0.562490904	0.705598421
chr	12	manhattan	0.66368853	0.785345587
chr	12	chebyshev	0.439171613	0.592712501
chr	13	euclidean	0.508170994	0.619811581
chr	13	manhattan	0.550749753	0.733628101
chr	13	chebyshev	0.47870718	0.493846562
chr	14	euclidean	0.48871174	0.550745647
chr	14	manhattan	0.510537971	0.60362285
chr	14	chebyshev	0.48982229	0.476447949
chr	15	euclidean	0.496688111	0.562525061
chr	15	manhattan	0.494463357	0.556684422
chr	15	chebyshev	0.498863822	0.492009749
chr	16	euclidean	0.529214856	0.606387797
chr	16	manhattan	0.555316287	0.680078808
chr	16	chebyshev	0.498146931	0.505267741
chr	17	euclidean	0.536843093	0.563524717
chr	17	manhattan	0.595533033	0.663487999
chr	17	chebyshev	0.484167822	0.471047542
chr	18	euclidean	0.540287008	0.630637737
chr	18	manhattan	0.654526057	0.785029395
chr	18	chebyshev	0.484760032	0.501590266
chr	19	euclidean	0.501336965	0.60433208
chr	19	manhattan	0.553567324	0.658745685
chr	19	chebyshev	0.455528108	0.530726964
chr	3	euclidean	0.615517717	0.747941117
chr	3	manhattan	0.661496724	0.782876764
chr	3	chebyshev	0.435612823	0.585045388
chr	4	euclidean	0.63694624	0.67416926
chr	4	manhattan	0.620977158	0.641757197
chr	4	chebyshev	0.529543699	0.501717515
chr	5	euclidean	0.662933197	0.789930784
chr	5	manhattan	0.715426314	0.827783552
chr	5	chebyshev	0.438736927	0.60274877
chr	6	euclidean	0.51642509	0.57638757
chr	6	manhattan	0.593532101	0.679222117
chr	6	chebyshev	0.471581062	0.492397849
chr	7	euclidean	0.640853034	0.767517669
chr	7	manhattan	0.700701867	0.81115318
chr	7	chebyshev	0.471833451	0.616977161
chr	21	euclidean	0.507549729	0.560424754
chr	21	manhattan	0.512959278	0.569246124
chr	21	chebyshev	0.509516629	0.472922258
chr	22	euclidean	0.526548673	0.537027574
chr	22	manhattan	0.521430949	0.573474345
chr	22	chebyshev	0.524191113	0.503133521
chr	20	euclidean	0.523530556	0.613204324
chr	20	manhattan	0.624796838	0.772828317
chr	20	chebyshev	0.466506191	0.481441534
chr	2	euclidean	0.663574642	0.791724917
chr	2	manhattan	0.770272008	0.866912569
chr	2	chebyshev	0.451182148	0.619577791
chr	1	euclidean	0.534551504	0.644390058
chr	1	manhattan	0.555445204	0.682801138
chr	1	chebyshev	0.468511339	0.528661402
