	chr			
chr	1	euclidean	0.510942019	0.594351471
chr	1	manhattan	0.505660052	0.622707566
chr	1	chebyshev	0.484279292	0.484314782
chr	2	euclidean	0.528165572	0.622618951
chr	2	manhattan	0.526398867	0.674590907
chr	2	chebyshev	0.492667957	0.486283943
chr	3	euclidean	0.53037107	0.609330362
chr	3	manhattan	0.506425929	0.606366231
chr	3	chebyshev	0.489496515	0.474571757
chr	4	euclidean	0.500091335	0.554675742
chr	4	manhattan	0.483850045	0.516081189
chr	4	chebyshev	0.483132632	0.456891011
chr	5	euclidean	0.531904986	0.629955546
chr	5	manhattan	0.518395964	0.643046489
chr	5	chebyshev	0.488780235	0.477309319
chr	6	euclidean	0.491389258	0.517528058
chr	6	manhattan	0.489864575	0.572271166
chr	6	chebyshev	0.482194838	0.452086702
chr	7	euclidean	0.530060425	0.623970797
chr	7	manhattan	0.511470701	0.627427211
chr	7	chebyshev	0.494852263	0.497378584
chr	8	euclidean	0.501127609	0.571893195
chr	8	manhattan	0.490981151	0.575367251
chr	8	chebyshev	0.482881803	0.461034563
chr	9	euclidean	0.503575478	0.607887668
chr	9	manhattan	0.512375087	0.648156339
chr	9	chebyshev	0.481955628	0.491547665
chr	10	euclidean	0.523019991	0.614787242
chr	10	manhattan	0.523483788	0.658274078
chr	10	chebyshev	0.488948493	0.480273473
chr	11	euclidean	0.530594941	0.618184443
chr	11	manhattan	0.529849268	0.671454482
chr	11	chebyshev	0.492450229	0.476101741
chr	12	euclidean	0.515989973	0.565593433
chr	12	manhattan	0.509806908	0.604924167
chr	12	chebyshev	0.491610989	0.475037852
chr	13	euclidean	0.493974762	0.59764993
chr	13	manhattan	0.502294819	0.698891247
chr	13	chebyshev	0.47491102	0.46507992
chr	14	euclidean	0.485269778	0.541539971
chr	14	manhattan	0.461957852	0.558192392
chr	14	chebyshev	0.476159939	0.452248612
chr	15	euclidean	0.472800008	0.545340594
chr	15	manhattan	0.45751041	0.527947939
chr	15	chebyshev	0.470847397	0.470133561
chr	16	euclidean	0.501724085	0.585136388
chr	16	manhattan	0.515643292	0.651010981
chr	16	chebyshev	0.483171284	0.493771614
chr	17	euclidean	0.489163202	0.506908003
chr	17	manhattan	0.491740298	0.569486571
chr	17	chebyshev	0.483122546	0.455108144
chr	18	euclidean	0.513165194	0.600767454
chr	18	manhattan	0.530650248	0.697032824
chr	18	chebyshev	0.486317276	0.487432765
chr	19	euclidean	0.499186765	0.540267693
chr	19	manhattan	0.492750714	0.557424361
chr	19	chebyshev	0.483343953	0.467742944
chr	20	euclidean	0.502538243	0.579551312
chr	20	manhattan	0.538333448	0.711773131
chr	20	chebyshev	0.482505399	0.465870109
chr	21	euclidean	0.472496678	0.542303968
chr	21	manhattan	0.450718481	0.526928149
chr	21	chebyshev	0.466214991	0.45075704
chr	22	euclidean	0.455996098	0.481085759
chr	22	manhattan	0.452841072	0.521139701
chr	22	chebyshev	0.472862905	0.465131788
