	chr			
chr	1	euclidean	0.518577463	0.594849085
chr	1	manhattan	0.551097656	0.654538036
chr	1	chebyshev	0.49526186	0.483994475
chr	2	euclidean	0.546394867	0.632854495
chr	2	manhattan	0.551149871	0.690705257
chr	2	chebyshev	0.514674828	0.497803837
chr	3	euclidean	0.550940813	0.623916652
chr	3	manhattan	0.559091597	0.646836266
chr	3	chebyshev	0.501420477	0.481118103
chr	4	euclidean	0.570547498	0.585348463
chr	4	manhattan	0.595791552	0.584461564
chr	4	chebyshev	0.531720949	0.446772815
chr	5	euclidean	0.60100461	0.70059036
chr	5	manhattan	0.636086408	0.742773374
chr	5	chebyshev	0.49508573	0.529150445
chr	6	euclidean	0.534935041	0.506492471
chr	6	manhattan	0.557048104	0.598372025
chr	6	chebyshev	0.523827217	0.419959216
chr	7	euclidean	0.56825506	0.660166657
chr	7	manhattan	0.59989726	0.700346343
chr	7	chebyshev	0.512457132	0.527598784
chr	8	euclidean	0.549661694	0.573590551
chr	8	manhattan	0.563116024	0.602170019
chr	8	chebyshev	0.536702214	0.433766555
chr	9	euclidean	0.487522999	0.560964508
chr	9	manhattan	0.492732104	0.611941139
chr	9	chebyshev	0.515186603	0.453010251
chr	10	euclidean	0.544873503	0.627851943
chr	10	manhattan	0.559753573	0.682998068
chr	10	chebyshev	0.515938421	0.496856074
chr	11	euclidean	0.575458386	0.67051041
chr	11	manhattan	0.622459374	0.745720727
chr	11	chebyshev	0.489149371	0.512563693
chr	12	euclidean	0.561551833	0.629129244
chr	12	manhattan	0.613241584	0.702451463
chr	12	chebyshev	0.495939276	0.519049217
chr	13	euclidean	0.492360667	0.588012395
chr	13	manhattan	0.476327509	0.679369442
chr	13	chebyshev	0.495430237	0.46641946
chr	14	euclidean	0.503951274	0.565741239
chr	14	manhattan	0.538366953	0.627799
chr	14	chebyshev	0.491389405	0.480538312
chr	15	euclidean	0.495514429	0.559265284
chr	15	manhattan	0.525074768	0.582010915
chr	15	chebyshev	0.493012722	0.482423266
chr	16	euclidean	0.504017542	0.553833534
chr	16	manhattan	0.515850895	0.635187164
chr	16	chebyshev	0.504301306	0.45550623
chr	17	euclidean	0.514822996	0.470805014
chr	17	manhattan	0.542815893	0.578035379
chr	17	chebyshev	0.517775468	0.411337589
chr	18	euclidean	0.522340289	0.582241036
chr	18	manhattan	0.505129906	0.672042492
chr	18	chebyshev	0.511629675	0.458750455
chr	19	euclidean	0.512937569	0.55696636
chr	19	manhattan	0.580166953	0.636728482
chr	19	chebyshev	0.485895679	0.476522769
chr	20	euclidean	0.503520671	0.54593993
chr	20	manhattan	0.489493572	0.671573713
chr	20	chebyshev	0.509596503	0.426624696
chr	21	euclidean	0.510368111	0.559269125
chr	21	manhattan	0.561964238	0.610993475
chr	21	chebyshev	0.503778881	0.459839258
chr	22	euclidean	0.493676399	0.49232042
chr	22	manhattan	0.498356677	0.54340355
chr	22	chebyshev	0.509683801	0.473390871
