	chromsome	methods	AMI	RI	AR	HS	VMS	FMS
chr	22	euclidean	0.095029897	0.490275552	-0.027458171	0.096970545	0.097285774	0.531693768
chr	22	manhattan	0.089757818	0.520525089	0.019203157	0.100219638	0.092223626	0.593803482
chr	22	chebyshev	0.10796064	0.481546001	-0.034268446	0.104389782	0.110066615	0.495670227
chr	21	euclidean	0.025453678	0.52028294	0.076749722	0.034020883	0.028053845	0.561933286
chr	21	manhattan	0.054199949	0.550631038	0.137055638	0.069724311	0.05674825	0.594875028
chr	21	chebyshev	0.023660046	0.511921893	0.01473229	0.026515553	0.02591703	0.456102725
chr	20	euclidean	0.018370161	0.53885306	0.071207997	0.022772816	0.020377635	0.598660191
chr	20	manhattan	0.107478698	0.564224612	0.107328993	0.314633361	0.110395116	0.728786247
chr	20	chebyshev	0.029964309	0.51286764	0.030771997	0.029277068	0.031609946	0.47353721
chr	19	euclidean	0.008988503	0.527698006	0.056406538	0.011392367	0.010998418	0.541137447
chr	19	manhattan	0.102897589	0.632842483	0.267701814	0.1146333	0.104809214	0.664196255
chr	19	chebyshev	0.00904804	0.518439636	0.034197496	0.010234138	0.010867285	0.466968479
chr	18	euclidean	0.045296542	0.568606045	0.114370821	0.053048172	0.046958857	0.643460097
chr	18	manhattan	0.178019035	0.615325706	0.177279946	0.390042062	0.180053604	0.75674547
chr	18	chebyshev	0.0331797	0.517472252	0.043874838	0.032001449	0.034563294	0.511727103
chr	17	euclidean	0.022348054	0.536378205	0.074256118	0.022893777	0.023715009	0.536950255
chr	17	manhattan	0.082011104	0.618364518	0.228947415	0.09211825	0.083470874	0.669392008
chr	17	chebyshev	0.019116496	0.507096038	0.023527809	0.018440847	0.020387568	0.459185223
chr	16	euclidean	0.024596724	0.551214599	0.09167008	0.029466496	0.026044303	0.61776038
chr	16	manhattan	0.054098848	0.576706734	0.132271361	0.082495773	0.05577369	0.693207095
chr	16	chebyshev	0.019148649	0.507950937	0.018849368	0.01955232	0.020393776	0.501018784
chr	15	euclidean	0.034492212	0.502609891	0.023573162	0.042659881	0.03570723	0.56224751
