	chromsome	methods	RI	FMS
chr	1	euclidean	0.551565349	0.597474507
chr	1	manhattan	0.504707719	0.597174132
chr	1	chebyshev	1	1
chr	2	euclidean	0.510290163	0.574382919
chr	2	manhattan	0.470495184	0.61528677
chr	2	chebyshev	1	1
chr	3	euclidean	0.521794257	0.559339878
chr	3	manhattan	0.490515268	0.554036781
chr	3	chebyshev	1	1
chr	4	euclidean	0.597804372	0.58850898
chr	4	manhattan	0.584309483	0.540986449
chr	4	chebyshev	1	1
chr	5	euclidean	0.507684425	0.575501677
chr	5	manhattan	0.485566758	0.589998704
chr	5	chebyshev	1	1
chr	6	euclidean	0.603627128	0.552293598
chr	6	manhattan	0.525813698	0.549304349
chr	6	chebyshev	1	1
chr	7	euclidean	0.537469684	0.603796894
chr	7	manhattan	0.499926628	0.594394994
chr	7	chebyshev	1	1
chr	8	euclidean	0.561052286	0.576089905
chr	8	manhattan	0.553549942	0.585334919
chr	8	chebyshev	1	1
chr	9	euclidean	0.5842599	0.655241316
chr	9	manhattan	0.533492685	0.650861855
chr	9	chebyshev	1	1
chr	10	euclidean	0.52466675	0.581541108
chr	10	manhattan	0.483059106	0.605219166
chr	10	chebyshev	1	1
chr	11	euclidean	0.498600047	0.548557703
chr	11	manhattan	0.454567503	0.590900631
chr	11	chebyshev	1	1
chr	12	euclidean	0.538166812	0.527509537
chr	12	manhattan	0.500626188	0.555907561
chr	12	chebyshev	1	1
chr	13	euclidean	0.569091108	0.656945133
chr	13	manhattan	0.490094132	0.68976119
chr	13	chebyshev	1	1
chr	14	euclidean	0.587998965	0.623073313
chr	14	manhattan	0.542963677	0.617804928
chr	14	chebyshev	1	1
chr	15	euclidean	0.616883036	0.672194102
chr	15	manhattan	0.583033782	0.639254114
chr	15	chebyshev	1	1
chr	16	euclidean	0.562455854	0.612734196
chr	16	manhattan	0.529200115	0.648470933
chr	16	chebyshev	1	1
chr	17	euclidean	0.599255024	0.538651596
chr	17	manhattan	0.522111053	0.541142647
chr	17	chebyshev	1	1
chr	18	euclidean	0.576193635	0.627396629
chr	18	manhattan	0.505167926	0.67137828
chr	18	chebyshev	1	1
chr	19	euclidean	0.591805382	0.572507789
chr	19	manhattan	0.521555825	0.530307506
chr	19	chebyshev	1	1
chr	20	euclidean	0.579716292	0.607072059
chr	20	manhattan	0.444087967	0.634267703
chr	20	chebyshev	1	1
chr	21	euclidean	0.640300566	0.683115086
chr	21	manhattan	0.552212361	0.606091582
chr	21	chebyshev	1	1
chr	22	euclidean	0.673131567	0.6843217
chr	22	manhattan	0.579045982	0.629112634
chr	22	chebyshev	1	1
