		methos		
chr	1	euclidean	1	1
chr	1	manhattan	0.608862486	0.718113429
chr	1	chebyshev	0.551565349	0.597474507
chr	2	euclidean	1	1
chr	2	manhattan	0.647230639	0.772549578
chr	2	chebyshev	0.510290163	0.574382919
chr	3	euclidean	1	1
chr	3	manhattan	0.58385062	0.688040251
chr	3	chebyshev	0.521794257	0.559339878
chr	4	euclidean	1	1
chr	4	manhattan	0.653325982	0.67961705
chr	4	chebyshev	0.597804372	0.58850898
chr	5	euclidean	1	1
chr	5	manhattan	0.671807683	0.776143965
chr	5	chebyshev	0.507684425	0.575501677
chr	6	euclidean	1	1
chr	6	manhattan	0.615862682	0.665788283
chr	6	chebyshev	0.603627128	0.552293598
chr	7	euclidean	1	1
chr	7	manhattan	0.615627753	0.729615624
chr	7	chebyshev	0.537469684	0.603796894
chr	8	euclidean	1	1
chr	8	manhattan	0.696925726	0.757816015
chr	8	chebyshev	0.561052286	0.576089905
chr	9	euclidean	1	1
chr	9	manhattan	0.701701256	0.801523248
chr	9	chebyshev	0.5842599	0.655241316
chr	10	euclidean	1	1
chr	10	manhattan	0.637287065	0.756198973
chr	10	chebyshev	0.52466675	0.581541108
chr	11	euclidean	1	1
chr	11	manhattan	0.628574388	0.754815173
chr	11	chebyshev	0.498600047	0.548557703
chr	12	euclidean	1	1
chr	12	manhattan	0.558575291	0.646032165
chr	12	chebyshev	0.538166812	0.527509537
chr	13	euclidean	1	1
chr	13	manhattan	0.735370336	0.853205176
chr	13	chebyshev	0.569091108	0.656945133
chr	14	euclidean	1	1
chr	14	manhattan	0.638817257	0.726615598
chr	14	chebyshev	0.587998965	0.623073313
chr	15	euclidean	1	1
chr	15	manhattan	0.613979844	0.700653133
chr	15	chebyshev	0.616883036	0.672194102
chr	16	euclidean	1	1
chr	16	manhattan	0.649403296	0.760248739
chr	16	chebyshev	0.562455854	0.612734196
chr	17	euclidean	1	1
chr	17	manhattan	0.588415338	0.632782051
chr	17	chebyshev	0.599255024	0.538651596
chr	18	euclidean	1	1
chr	18	manhattan	0.743492278	0.845530599
chr	18	chebyshev	0.576193635	0.627396629
chr	19	euclidean	1	1
chr	19	manhattan	0.543517541	0.595897932
chr	19	chebyshev	0.591805382	0.572507789
chr	20	euclidean	1	1
chr	20	manhattan	0.683587883	0.812086331
chr	20	chebyshev	0.579716292	0.607072059
chr	21	euclidean	1	1
chr	21	manhattan	0.650835072	0.728515978
chr	21	chebyshev	0.640300566	0.683115086
chr	22	euclidean	1	1
chr	22	manhattan	0.584585666	0.649747861
chr	22	chebyshev	0.673131567	0.6843217
