		euclidean	manhattan	chebyshev	TopDom	IS	HiCseg	__IC_Finder	clusterTAD
chr	1	791886.7925			422530.8642	50000	100120.6273	348073.5552	1940000
chr	2	987914.6919			500228.833	50000	100092.9944	233830.5489	2214761.905
chr	3	917500			488873.6264	50000	99886.36364	239836.7953	1812621.359
chr	4	647413.7931			395179.0634	50000	100078.9266	326303.3175	1041417.91
chr	5	1055369.128			461604.5845	50000	100082.713	403717.9487	2613636.364
chr	6	493164.0625			400000	50000	100043.9754	263383.2976	1604705.882
chr	7	1014074.074			476767.6768	50000	100141.3761	308775.9815	2041095.89
chr	8	724695.122			408333.3333	50000	100000	269385.0267	1185714.286
chr	9	987704.918			434070.7965	50000	100162.8664	327972.028	2172222.222
chr	10	890310.0775			472332.0158	50000	100112.2334	240888.8889	1280526.316
chr	11	899609.375			460966.5428	50000	100166.8521	375967.7419	1754054.054
chr	12	633030.303			453435.1145	50000	100225.4791	375081.4332	1830434.783
chr	13	1258750			444623.6559	50000	79303.54796	315849.0566	2100000
chr	14	824056.6038			474260.355	50000	77848.10127	534437.0861	2379310.345
chr	15	812264.1509			423410.4046	50000	75184.09426	469551.2821	1788235.294
chr	16	775510.2041			458750	50000	100250	262248.996	1233962.264
chr	17	457196.9697			386390.5325	50000	100000	265401.7857	1170370.37
chr	18	1007462.687			421052.6316	50000	100280.8989	252542.3729	1381818.182
chr	19	557407.4074			375000	50000	100256.4103	352919.708	1240243.902
chr	20	868032.7869			401200	50000	100116.8224	240256.4103	1656666.667
chr	21	704464.2857			454545.4545	50000	84516.12903	486718.75	1193181.818
chr	22	632258.0645			2301162.791	50000	69230.76923	513076.9231	1459375
